Provisional designation,"Absolute magnitude, H",Distance ER,Distance LD,Distance km,Distance AU,Refernce,Ref URL,,,,,,,,,
2004 FM32,27.2,108.68,1.8058,694134,0.00464,MPEC 2004-G01,http://www.minorplanetcenter.net/mpec/K04/K04G01.html,,,,,,,,,
2004 XK3,24.3,108.68,1.8058,694134,0.00464,MPEC 2008-W18,http://www.minorplanetcenter.net/mpec/K08/K08W18.html,,,,,,,,,
2014 HD198,29.7,108.68,1.8058,694134,0.00464,MPEC 2014-Y75,http://www.minorplanetcenter.net/mpec/K14/K14Y75.html,,,,,,,,,
2016 CL137,25.8,108.91,1.8097,695630,0.00465,MPEC 2016-C16,http://www.minorplanetcenter.net/mpec/K16/K16C16.html,,,,,,,,,
2016 FV13,25.8,108.91,1.8097,695630,0.00465,MPEC 2016-S10,http://www.minorplanetcenter.net/mpec/K16/K16S10.html,,,,,,,,,
2011 UC190,26.2,109.15,1.8135,697126,0.00466,MPEC 2011-U99,http://www.minorplanetcenter.net/mpec/K11/K11U99.html,,,,,,,,,
2018 TD3,27.2,110.08,1.8291,703110,0.0047,MPEC 2018-T11,http://www.minorplanetcenter.net/mpec/K18/K18T11.html,,,,,,,,,
2009 BH11,25.8,110.55,1.8369,706102,0.00472,MPEC 2009-B59,http://www.minorplanetcenter.net/mpec/K09/K09B59.html,,,,,,,,,
1994 WR12,22,111.02,1.8447,709094,0.00474,MPEC 1994-Y05,http://www.minorplanetcenter.net/mpec/J94/J94Y05.html,,,,,,,,,
2007 CC19,27,111.02,1.8447,709094,0.00474,MPEC 2007-C49,http://www.minorplanetcenter.net/mpec/K07/K07C49.html,,,,,,,,,
2015 CT13,26,111.02,1.8447,709094,0.00474,MPEC 2016-C40,http://www.minorplanetcenter.net/mpec/K16/K16C40.html,,,,,,,,,
2016 CO248,27.5,112.19,1.8641,716574,0.00479,MPEC 2016-G05,http://www.minorplanetcenter.net/mpec/K16/K16G05.html,,,,,,,,,
2017 WD,28,112.19,1.8641,716574,0.00479,MPEC 2017-W32,http://www.minorplanetcenter.net/mpec/K17/K17W32.html,,,,,,,,,
2012 FT35,29.2,113.13,1.8797,722558,0.00483,MPEC 2012-F82,http://www.minorplanetcenter.net/mpec/K12/K12F82.html,,,,,,,,,
2001 WM15,24.9,113.36,1.8836,724054,0.00484,MPEC 2001-W65,http://www.minorplanetcenter.net/mpec/K01/K01W65.html,,,,,,,,,
2005 MA,26.8,113.83,1.8914,727046,0.00486,MPEC 2005-M09,http://www.minorplanetcenter.net/mpec/K05/K05M09.html,,,,,,,,,
2014 WA,28.2,113.83,1.8914,727046,0.00486,MPEC 2014-W07,http://www.minorplanetcenter.net/mpec/K14/K14W07.html,,,,,,,,,
2011 UD21,28.6,114.3,1.8992,730038,0.00488,MPEC 2011-U32,http://www.minorplanetcenter.net/mpec/K11/K11U32.html,,,,,,,,,
2018 RH3,26,114.3,1.8992,730038,0.00488,MPEC 2018-R10,http://www.minorplanetcenter.net/mpec/K18/K18R10.html,,,,,,,,,
2012 BF27,26.1,114.53,1.9031,731534,0.00489,MPEC 2012-B58,http://www.minorplanetcenter.net/mpec/K12/K12B58.html,,,,,,,,,
2018 VA2,27,114.53,1.9031,731534,0.00489,MPEC 2018-V57,http://www.minorplanetcenter.net/mpec/K18/K18V57.html,,,,,,,,,
2013 XH22,26.2,116.17,1.9303,742005,0.00496,MPEC 2014-Q17,http://www.minorplanetcenter.net/mpec/K14/K14Q17.html,,,,,,,,,
2018 VR3,26.9,116.64,1.9381,744997,0.00498,MPEC 2018-V75,http://www.minorplanetcenter.net/mpec/K18/K18V75.html,,,,,,,,,
2014 GQ17,27.1,116.88,1.942,746493,0.00499,MPEC 2015-A19,http://www.minorplanetcenter.net/mpec/K15/K15A19.html,,,,,,,,,
2009 RY3,24.7,117.11,1.9459,747989,0.005,MPEC 2009-R59,http://www.minorplanetcenter.net/mpec/K09/K09R59.html,,,,,,,,,
2014 SF304,27.3,117.11,1.9459,747989,0.005,MPEC 2016-E14,http://www.minorplanetcenter.net/mpec/K16/K16E14.html,,,,,,,,,
2006 BO7,29.3,117.35,1.9498,749485,0.00501,MPEC 2006-B33,http://www.minorplanetcenter.net/mpec/K06/K06B33.html,,,,,,,,,
2016 WF7,28.8,117.35,1.9498,749485,0.00501,MPEC 2016-X41,http://www.minorplanetcenter.net/mpec/K16/K16X41.html,,,,,,,,,
2012 DX,27,117.81,1.9575,752477,0.00503,MPEC 2012-D23,http://www.minorplanetcenter.net/mpec/K12/K12D23.html,,,,,,,,,
2017 KJ32,28.9,118.52,1.9692,756965,0.00506,MPEC 2017-K91,http://www.minorplanetcenter.net/mpec/K17/K17K91.html,,,,,,,,,
2017 UU1,27,118.52,1.9692,756965,0.00506,MPEC 2017-U89,http://www.minorplanetcenter.net/mpec/K17/K17U89.html,,,,,,,,,
2015 QY8,27.8,118.75,1.9731,758461,0.00507,MPEC 2015-Q72,http://www.minorplanetcenter.net/mpec/K15/K15Q72.html,,,,,,,,,
2016 CN248,27.3,118.75,1.9731,758461,0.00507,MPEC 2016-D21,http://www.minorplanetcenter.net/mpec/K16/K16D21.html,,,,,,,,,
2005 TA,27.3,119.22,1.9809,761453,0.00509,MPEC 2005-T14,http://www.minorplanetcenter.net/mpec/K05/K05T14.html,,,,,,,,,
2005 WY,27.1,119.22,1.9809,761453,0.00509,MPEC 2005-W64,http://www.minorplanetcenter.net/mpec/K05/K05W64.html,,,,,,,,,
2008 EC32,26.7,119.22,1.9809,761453,0.00509,MPEC 2008-E90,http://www.minorplanetcenter.net/mpec/K08/K08E90.html,,,,,,,,,
2010 GH7,27.6,119.22,1.9809,761453,0.00509,MPEC 2010-G39,http://www.minorplanetcenter.net/mpec/K10/K10G39.html,,,,,,,,,
2018 SP2,24.8,119.22,1.9809,761453,0.00509,MPEC 2018-T03,http://www.minorplanetcenter.net/mpec/K18/K18T03.html,,,,,,,,,
2002 TY59,25.9,119.45,1.9848,762949,0.0051,MPEC 2002-T29,http://www.minorplanetcenter.net/mpec/K02/K02T29.html,,,,,,,,,
2005 UE1,26.1,119.69,1.9887,764445,0.00511,MPEC 2005-U46,http://www.minorplanetcenter.net/mpec/K05/K05U46.html,,,,,,,,,
2018 RR,27.5,119.69,1.9887,764445,0.00511,MPEC 2018-R34,http://www.minorplanetcenter.net/mpec/K18/K18R34.html,,,,,,,,,
2018 GN1,27.4,119.92,1.9926,765941,0.00512,MPEC 2018-G56,http://www.minorplanetcenter.net/mpec/K18/K18G56.html,,,,,,,,,
2011 WQ4,26.9,120.16,1.9965,767437,0.00513,MPEC 2011-W26,http://www.minorplanetcenter.net/mpec/K11/K11W26.html,,,,,,,,,
2014 HY198,29.7,121.09,2.012,773421,0.00517,MPEC 2014-Y75,http://www.minorplanetcenter.net/mpec/K14/K14Y75.html,,,,,,,,,
2009 UD,27.2,121.33,2.0159,774917,0.00518,MPEC 2009-U10,http://www.minorplanetcenter.net/mpec/K09/K09U10.html,,,,,,,,,
2006 SC,25.3,121.56,2.0198,776413,0.00519,MPEC 2006-S10,http://www.minorplanetcenter.net/mpec/K06/K06S10.html,,,,,,,,,
2019 JJ,28,122.03,2.0276,779405,0.00521,MPEC 2019-J17,http://www.minorplanetcenter.net/mpec/K19/K19J17.html,,,,,,,,,
2012 BY1,26,122.26,2.0315,780901,0.00522,MPEC 2012-B18,http://www.minorplanetcenter.net/mpec/K12/K12B18.html,,,,,,,,,
2017 YS1,28.9,122.5,2.0354,782397,0.00523,MPEC 2017-Y77,http://www.minorplanetcenter.net/mpec/K17/K17Y77.html,,,,,,,,,
2016 WU,27.3,122.97,2.0432,785389,0.00525,MPEC 2016-X30,http://www.minorplanetcenter.net/mpec/K16/K16X30.html,,,,,,,,,
2003 QB30,26.3,123.2,2.047,786885,0.00526,MPEC 2003-Q33,http://www.minorplanetcenter.net/mpec/K03/K03Q33.html,,,,,,,,,
2014 HW,28.4,124.61,2.0704,795861,0.00532,MPEC 2014-J19,http://www.minorplanetcenter.net/mpec/K14/K14J19.html,,,,,,,,,
2011 FA23,28.9,126.01,2.0937,804837,0.00538,MPEC 2011-F57,http://www.minorplanetcenter.net/mpec/K11/K11F57.html,,,,,,,,,
2019 GT19,27.5,126.01,2.0937,804837,0.00538,MPEC 2019-G17,http://www.minorplanetcenter.net/mpec/K19/K19G17.html,,,,,,,,,
2015 CD1,28.2,126.48,2.1015,807828,0.0054,MPEC 2015-E35,http://www.minorplanetcenter.net/mpec/K15/K15E35.html,,,,,,,,,
2017 BR5,27.6,127.18,2.1132,812316,0.00543,MPEC 2017-B70,http://www.minorplanetcenter.net/mpec/K17/K17B70.html,,,,,,,,,
2015 VL64,28.3,127.65,2.121,815308,0.00545,MPEC 2015-V14,http://www.minorplanetcenter.net/mpec/K15/K15V14.html,,,,,,,,,
2019 FB2,26.5,128.12,2.1288,818300,0.00547,MPEC 2019-G02,http://www.minorplanetcenter.net/mpec/K19/K19G02.html,,,,,,,,,
2014 HO132,25.7,128.82,2.1404,822788,0.0055,MPEC 2014-M23,http://www.minorplanetcenter.net/mpec/K14/K14M23.html,,,,,,,,,
2006 BW7,26.6,129.06,2.1443,824284,0.00551,MPEC 2006-B43,http://www.minorplanetcenter.net/mpec/K06/K06B43.html,,,,,,,,,
2016 GH1,27.5,129.06,2.1443,824284,0.00551,MPEC 2016-G77,http://www.minorplanetcenter.net/mpec/K16/K16G77.html,,,,,,,,,
2018 MC7,25.8,132.1,2.1949,843732,0.00564,MPEC 2018-M87,http://www.minorplanetcenter.net/mpec/K18/K18M87.html,,,,,,,,,
2015 KG158,28.3,132.57,2.2027,846724,0.00566,MPEC 2015-O36,http://www.minorplanetcenter.net/mpec/K15/K15O36.html,,,,,,,,,
2016 TP2,26.6,133.04,2.2105,849716,0.00568,MPEC 2016-T14,http://www.minorplanetcenter.net/mpec/K16/K16T14.html,,,,,,,,,
2009 DU10,26.8,133.51,2.2183,852708,0.0057,MPEC 2009-D51,http://www.minorplanetcenter.net/mpec/K09/K09D51.html,,,,,,,,,
2017 PK25,25.3,133.74,2.2222,854204,0.00571,MPEC 2017-P46,http://www.minorplanetcenter.net/mpec/K17/K17P46.html,,,,,,,,,
2004 YC,25.7,133.98,2.2261,855700,0.00572,MPEC 2004-Y07,http://www.minorplanetcenter.net/mpec/K04/K04Y07.html,,,,,,,,,
1993 HP1,27.1,134.21,2.23,857196,0.00573,MPO 242994,,,,,,,,,,
2011 AL37,24,134.21,2.23,857196,0.00573,MPEC 2011-A63,http://www.minorplanetcenter.net/mpec/K11/K11A63.html,,,,,,,,,
2013 TP4,27.3,134.44,2.2338,858692,0.00574,MPEC 2016-O40,http://www.minorplanetcenter.net/mpec/K16/K16O40.html,,,,,,,,,
2018 CU2,28,134.44,2.2338,858692,0.00574,MPEC 2018-C84,http://www.minorplanetcenter.net/mpec/K18/K18C84.html,,,,,,,,,
2014 SH224,26.1,135.61,2.2533,866172,0.00579,MPEC 2014-S12,http://www.minorplanetcenter.net/mpec/K14/K14S12.html,,,,,,,,,
2009 SH1,29.4,136.08,2.2611,869164,0.00581,MPEC 2009-S39,http://www.minorplanetcenter.net/mpec/K09/K09S39.html,,,,,,,,,
2016 RO17,26.3,138.19,2.2961,882627,0.0059,MPEC 2016-R87,http://www.minorplanetcenter.net/mpec/K16/K16R87.html,,,,,,,,,
2016 EM157,26.9,138.66,2.3039,885619,0.00592,MPEC 2016-F28,http://www.minorplanetcenter.net/mpec/K16/K16F28.html,,,,,,,,,
2007 FS3,26.1,139.13,2.3117,888611,0.00594,MPEC 2007-F59,http://www.minorplanetcenter.net/mpec/K07/K07F59.html,,,,,,,,,
2001 DZ76,25.3,139.36,2.3156,890107,0.00595,MPEC 2001-D33,http://www.minorplanetcenter.net/mpec/K01/K01D33.html,,,,,,,,,
2016 TO11,27.3,140.3,2.3311,896091,0.00599,MPEC 2016-U05,http://www.minorplanetcenter.net/mpec/K16/K16U05.html,,,,,,,,,
2018 CL,25.5,140.53,2.335,897587,0.006,MPEC 2018-C23,http://www.minorplanetcenter.net/mpec/K18/K18C23.html,,,,,,,,,
2010 TO55,26.5,140.77,2.3389,899083,0.00601,MPEC 2010-T113,http://www.minorplanetcenter.net/mpec/K10/K10TB3.html,,,,,,,,,
2016 WQ1,27.8,140.77,2.3389,899083,0.00601,MPEC 2017-B01,http://www.minorplanetcenter.net/mpec/K17/K17B01.html,,,,,,,,,
2017 JV1,26.1,140.77,2.3389,899083,0.00601,MPEC 2017-J44,http://www.minorplanetcenter.net/mpec/K17/K17J44.html,,,,,,,,,
2016 SG,26.6,141,2.3428,900579,0.00602,MPEC 2016-T14,http://www.minorplanetcenter.net/mpec/K16/K16T14.html,,,,,,,,,
2016 CH137,25.8,141.47,2.3506,903571,0.00604,MPEC 2016-C17,http://www.minorplanetcenter.net/mpec/K16/K16C17.html,,,,,,,,,
2016 FF14,27.1,142.17,2.3623,908059,0.00607,MPEC 2016-G77,http://www.minorplanetcenter.net/mpec/K16/K16G77.html,,,,,,,,,
2013 GD55,23.3,142.64,2.3701,911051,0.00609,MPEC 2013-J32,http://www.minorplanetcenter.net/mpec/K13/K13J32.html,,,,,,,,,
2017 BY93,23.1,142.64,2.3701,911051,0.00609,MPEC 2017-E84,http://www.minorplanetcenter.net/mpec/K17/K17E84.html,,,,,,,,,
2018 NJ,28,142.64,2.3701,911051,0.00609,MPEC 2018-N19,http://www.minorplanetcenter.net/mpec/K18/K18N19.html,,,,,,,,,
2008 EL68,27.7,143.34,2.3817,915539,0.00612,MPEC 2008-E96,http://www.minorplanetcenter.net/mpec/K08/K08E96.html,,,,,,,,,
2016 SL2,25.4,143.34,2.3817,915539,0.00612,MPEC 2016-S78,http://www.minorplanetcenter.net/mpec/K16/K16S78.html,,,,,,,,,
2017 CP32,23.9,143.81,2.3895,918531,0.00614,MPEC 2017-E52,http://www.minorplanetcenter.net/mpec/K17/K17E52.html,,,,,,,,,
2015 XX128,26,144.28,2.3973,921523,0.00616,MPEC 2016-C16,http://www.minorplanetcenter.net/mpec/K16/K16C16.html,,,,,,,,,
2010 RZ11,26.6,144.52,2.4012,923019,0.00617,MPEC 2010-R29,http://www.minorplanetcenter.net/mpec/K10/K10R29.html,,,,,,,,,
2012 CU,25.8,144.98,2.409,926011,0.00619,MPEC 2012-C21,http://www.minorplanetcenter.net/mpec/K12/K12C21.html,,,,,,,,,
2012 XP2,24.2,145.22,2.4129,927507,0.0062,MPEC 2012-X18,http://www.minorplanetcenter.net/mpec/K12/K12X18.html,,,,,,,,,
2006 BY8,26.4,145.69,2.4207,930499,0.00622,MPEC 2006-B53,http://www.minorplanetcenter.net/mpec/K06/K06B53.html,,,,,,,,,
2014 QC391,27.4,146.62,2.4362,936483,0.00626,MPEC 2014-R48,http://www.minorplanetcenter.net/mpec/K14/K14R48.html,,,,,,,,,
2001 UP,25.7,147.09,2.444,939475,0.00628,MPEC 2001-U24,http://www.minorplanetcenter.net/mpec/K01/K01U24.html,,,,,,,,,
2011 EB,27,147.33,2.4479,940971,0.00629,MPEC 2011-E04,http://www.minorplanetcenter.net/mpec/K11/K11E04.html,,,,,,,,,
2015 EF,26.8,147.33,2.4479,940971,0.00629,MPEC 2015-L43,http://www.minorplanetcenter.net/mpec/K15/K15L43.html,,,,,,,,,
2019 BZ,27.5,147.33,2.4479,940971,0.00629,MPEC 2019-B67,http://www.minorplanetcenter.net/mpec/K19/K19B67.html,,,,,,,,,
2008 HU4,28.1,148.03,2.4596,945459,0.00632,MPEC 2008-J04,http://www.minorplanetcenter.net/mpec/K08/K08J04.html,,,,,,,,,
2004 QA22,27.6,148.5,2.4674,948450,0.00634,MPEC 2004-Q55,http://www.minorplanetcenter.net/mpec/K04/K04Q55.html,,,,,,,,,
2017 GW4,27.8,148.97,2.4751,951442,0.00636,MPEC 2017-G53,http://www.minorplanetcenter.net/mpec/K17/K17G53.html,,,,,,,,,
2008 JC,26.4,149.43,2.4829,954434,0.00638,MPEC 2008-J06,http://www.minorplanetcenter.net/mpec/K08/K08J06.html,,,,,,,,,
2017 DD36,26.7,149.67,2.4868,955930,0.00639,MPEC 2017-E16,http://www.minorplanetcenter.net/mpec/K17/K17E16.html,,,,,,,,,
2012 DW60,26.5,149.9,2.4907,957426,0.0064,MPEC 2012-E05,http://www.minorplanetcenter.net/mpec/K12/K12E05.html,,,,,,,,,
2015 GA1,26.6,149.9,2.4907,957426,0.0064,MPEC 2015-H16,http://www.minorplanetcenter.net/mpec/K15/K15H16.html,,,,,,,,,
2015 VY,26.2,149.9,2.4907,957426,0.0064,MPEC 2015-V82,http://www.minorplanetcenter.net/mpec/K15/K15V82.html,,,,,,,,,
2017 NK2,26.6,149.9,2.4907,957426,0.0064,MPEC 2017-N65,http://www.minorplanetcenter.net/mpec/K17/K17N65.html,,,,,,,,,
1994 VH8,27.7,150.61,2.5024,961914,0.00643,MPO 242994,,,,,,,,,,
2013 ET,23.1,152.71,2.5374,975378,0.00652,MPEC 2014-Q17,http://www.minorplanetcenter.net/mpec/K14/K14Q17.html,,,,,,,,,
2014 UL175,26.5,152.71,2.5374,975378,0.00652,MPEC 2014-U13,http://www.minorplanetcenter.net/mpec/K14/K14U13.html,,,,,,,,,
2015 LR21,26.5,153.18,2.5452,978370,0.00654,MPEC 2015-R05,http://www.minorplanetcenter.net/mpec/K15/K15R05.html,,,,,,,,,
2016 SP3,27.9,153.18,2.5452,978370,0.00654,MPEC 2016-T01,http://www.minorplanetcenter.net/mpec/K16/K16T01.html,,,,,,,,,
2009 SU104,25.3,153.42,2.5491,979866,0.00655,MPEC 2009-S121,http://www.minorplanetcenter.net/mpec/K09/K09SC1.html,,,,,,,,,
2017 DP109,26.9,154.35,2.5646,985850,0.00659,MPEC 2017-E29,http://www.minorplanetcenter.net/mpec/K17/K17E29.html,,,,,,,,,
2016 UR41,28,154.59,2.5685,987346,0.0066,MPEC 2016-U10,http://www.minorplanetcenter.net/mpec/K16/K16U10.html,,,,,,,,,
2017 FJ3,29.9,154.82,2.5724,988842,0.00661,MPEC 2017-F81,http://www.minorplanetcenter.net/mpec/K17/K17F81.html,,,,,,,,,
2008 GB21,25.8,155.06,2.5763,990338,0.00662,MPEC 2008-G72,http://www.minorplanetcenter.net/mpec/K08/K08G72.html,,,,,,,,,
2018 VO9,26.9,155.52,2.5841,993330,0.00664,MPEC 2018-V19,http://www.minorplanetcenter.net/mpec/K18/K18V19.html,,,,,,,,,
2017 QT34,27.8,155.76,2.588,994826,0.00665,MPEC 2017-R01,http://www.minorplanetcenter.net/mpec/K17/K17R01.html,,,,,,,,,
2011 WJ15,25.2,155.99,2.5919,996322,0.00666,MPEC 2011-W39,http://www.minorplanetcenter.net/mpec/K11/K11W39.html,,,,,,,,,
2014 WF6,24.4,156.69,2.6036,1000810,0.00669,MPEC 2015-B18,http://www.minorplanetcenter.net/mpec/K15/K15B18.html,,,,,,,,,
2016 WG7,26,156.93,2.6075,1002306,0.0067,MPEC 2016-X96,http://www.minorplanetcenter.net/mpec/K16/K16X96.html,,,,,,,,,
2011 CF66,27.4,157.4,2.6152,1005298,0.00672,MPEC 2011-C94,http://www.minorplanetcenter.net/mpec/K11/K11C94.html,,,,,,,,,
2012 BA102,26.5,158.8,2.6386,1014274,0.00678,MPEC 2012-B113,http://www.minorplanetcenter.net/mpec/K12/K12BB3.html,,,,,,,,,
2015 XN261,26.2,158.8,2.6386,1014274,0.00678,MPEC 2016-F61,http://www.minorplanetcenter.net/mpec/K16/K16F61.html,,,,,,,,,
2013 AC4,26,159.04,2.6425,1015770,0.00679,MPEC 2013-A18,http://www.minorplanetcenter.net/mpec/K13/K13A18.html,,,,,,,,,
2004 TE10,24.3,160.21,2.6619,1023249,0.00684,MPEC 2004-T31,http://www.minorplanetcenter.net/mpec/K04/K04T31.html,,,,,,,,,
2019 GJ4,26.1,160.21,2.6619,1023249,0.00684,MPEC 2019-G11,http://www.minorplanetcenter.net/mpec/K19/K19G11.html,,,,,,,,,
2008 TL,27.5,162.32,2.697,1036713,0.00693,MPEC 2008-T22,http://www.minorplanetcenter.net/mpec/K08/K08T22.html,,,,,,,,,
2019 EU1,25.6,163.02,2.7086,1041201,0.00696,MPEC 2019-E75,http://www.minorplanetcenter.net/mpec/K19/K19E75.html,,,,,,,,,
2012 HE31,25.8,163.25,2.7125,1042697,0.00697,MPEC 2012-H82,http://www.minorplanetcenter.net/mpec/K12/K12H82.html,,,,,,,,,
2014 BM25,28.1,163.25,2.7125,1042697,0.00697,MPEC 2014-B66,http://www.minorplanetcenter.net/mpec/K14/K14B66.html,,,,,,,,,
2015 EG7,27.4,163.49,2.7164,1044193,0.00698,MPEC 2015-F38,http://www.minorplanetcenter.net/mpec/K15/K15F38.html,,,,,,,,,
2018 AU2,27.4,164.42,2.732,1050177,0.00702,MPEC 2018-A62,http://www.minorplanetcenter.net/mpec/K18/K18A62.html,,,,,,,,,
2012 UX136,25.6,165.13,2.7437,1054665,0.00705,MPEC 2012-U89,http://www.minorplanetcenter.net/mpec/K12/K12U89.html,,,,,,,,,
2017 LX,26.2,165.36,2.7476,1056161,0.00706,MPEC 2017-L71,http://www.minorplanetcenter.net/mpec/K17/K17L71.html,,,,,,,,,
2003 QO104,16,166.06,2.7592,1060649,0.00709,MPEC 2003-R13,http://www.minorplanetcenter.net/mpec/K03/K03R13.html,,,,,,,,,
2017 QU34,28.3,166.77,2.7709,1065137,0.00712,MPEC 2017-R02,http://www.minorplanetcenter.net/mpec/K17/K17R02.html,,,,,,,,,
2018 XS4,25.4,166.77,2.7709,1065137,0.00712,MPEC 2018-X13,http://www.minorplanetcenter.net/mpec/K18/K18X13.html,,,,,,,,,
2008 HJ,25.6,167.94,2.7904,1072617,0.00717,MPEC 2008-H26,http://www.minorplanetcenter.net/mpec/K08/K08H26.html,,,,,,,,,
2015 FT117,28.4,167.94,2.7904,1072617,0.00717,MPEC 2015-F12,http://www.minorplanetcenter.net/mpec/K15/K15F12.html,,,,,,,,,
2018 MB7,23.8,167.94,2.7904,1072617,0.00717,MPEC 2018-M86,http://www.minorplanetcenter.net/mpec/K18/K18M86.html,,,,,,,,,
2012 UF34,24.8,168.41,2.7981,1075609,0.00719,MPEC 2012-U62,http://www.minorplanetcenter.net/mpec/K12/K12U62.html,,,,,,,,,
2017 AF13,26.5,169.34,2.8137,1081593,0.00723,MPEC 2017-A72,http://www.minorplanetcenter.net/mpec/K17/K17A72.html,,,,,,,,,
2018 QE,27.9,169.34,2.8137,1081593,0.00723,MPEC 2018-Q33,http://www.minorplanetcenter.net/mpec/K18/K18Q33.html,,,,,,,,,
2019 FL1,26.9,170.51,2.8332,1089072,0.00728,MPEC 2019-F15,http://www.minorplanetcenter.net/mpec/K19/K19F15.html,,,,,,,,,
2006 SN198,26.1,171.22,2.8449,1093560,0.00731,MPEC 2006-S105,http://www.minorplanetcenter.net/mpec/K06/K06SA5.html,,,,,,,,,
2019 BK2,26.8,171.45,2.8487,1095056,0.00732,MPEC 2019-B11,http://www.minorplanetcenter.net/mpec/K19/K19B11.html,,,,,,,,,
2009 LA,26.3,171.69,2.8526,1096552,0.00733,MPEC 2009-L04,http://www.minorplanetcenter.net/mpec/K09/K09L04.html,,,,,,,,,
1997 CD17,27.5,172.39,2.8643,1101040,0.00736,MPEC 1997-C10,http://www.minorplanetcenter.net/mpec/J97/J97C10.html,,,,,,,,,
2000 YA,23.8,172.62,2.8682,1102536,0.00737,MPEC 2000-Y26,http://www.minorplanetcenter.net/mpec/K00/K00Y26.html,,,,,,,,,
2018 ES1,26.8,172.86,2.8721,1104032,0.00738,MPEC 2018-E52,http://www.minorplanetcenter.net/mpec/K18/K18E52.html,,,,,,,,,
2013 RS43,27,173.32,2.8799,1107024,0.0074,MPEC 2013-R97,http://www.minorplanetcenter.net/mpec/K13/K13R97.html,,,,,,,,,
2019 DP,25,173.32,2.8799,1107024,0.0074,MPEC 2019-D51,http://www.minorplanetcenter.net/mpec/K19/K19D51.html,,,,,,,,,
2015 FC,26.6,173.79,2.8877,1110016,0.00742,MPEC 2016-C40,http://www.minorplanetcenter.net/mpec/K16/K16C40.html,,,,,,,,,
2016 JA,27.6,173.79,2.8877,1110016,0.00742,MPEC 2016-J11,http://www.minorplanetcenter.net/mpec/K16/K16J11.html,,,,,,,,,
2017 HE,26.7,174.73,2.9032,1116000,0.00746,MPEC 2017-H12,http://www.minorplanetcenter.net/mpec/K17/K17H12.html,,,,,,,,,
2015 SA,25.3,175.2,2.911,1118992,0.00748,MPEC 2016-C14,http://www.minorplanetcenter.net/mpec/K16/K16C14.html,,,,,,,,,
2009 WV25,23.9,175.43,2.9149,1120488,0.00749,MPEC 2009-W71,http://www.minorplanetcenter.net/mpec/K09/K09W71.html,,,,,,,,,
2011 JM5,26.2,175.43,2.9149,1120488,0.00749,MPEC 2011-J29,http://www.minorplanetcenter.net/mpec/K11/K11J29.html,,,,,,,,,
2017 HF,26.6,175.67,2.9188,1121984,0.0075,MPEC 2017-H13,http://www.minorplanetcenter.net/mpec/K17/K17H13.html,,,,,,,,,
2013 WZ107,27.4,175.9,2.9227,1123480,0.00751,MPEC 2013-X38,http://www.minorplanetcenter.net/mpec/K13/K13X38.html,,,,,,,,,
2008 OY2,27.2,176.84,2.9383,1129464,0.00755,MPEC 2008-O43,http://www.minorplanetcenter.net/mpec/K08/K08O43.html,,,,,,,,,
2018 WV,25.6,176.84,2.9383,1129464,0.00755,MPEC 2018-W45,http://www.minorplanetcenter.net/mpec/K18/K18W45.html,,,,,,,,,
2015 XH55,29.3,177.54,2.9499,1133952,0.00758,MPEC 2015-X64,http://www.minorplanetcenter.net/mpec/K15/K15X64.html,,,,,,,,,
2006 HX57,25,177.77,2.9538,1135448,0.00759,MPEC 2006-J04,http://www.minorplanetcenter.net/mpec/K06/K06J04.html,,,,,,,,,
2019 AD,27.6,177.77,2.9538,1135448,0.00759,MPEC 2019-A24,http://www.minorplanetcenter.net/mpec/K19/K19A24.html,,,,,,,,,
2005 EM169,25.1,178.48,2.9655,1139936,0.00762,MPEC 2005-E77,http://www.minorplanetcenter.net/mpec/K05/K05E77.html,,,,,,,,,
2019 HS3,27,178.71,2.9694,1141432,0.00763,MPEC 2019-H91,http://www.minorplanetcenter.net/mpec/K19/K19H91.html,,,,,,,,,
2007 VL3,26.1,179.18,2.9772,1144424,0.00765,MPEC 2007-V26,http://www.minorplanetcenter.net/mpec/K07/K07V26.html,,,,,,,,,
2019 BU1,26.2,179.18,2.9772,1144424,0.00765,MPEC 2019-B97,http://www.minorplanetcenter.net/mpec/K19/K19B97.html,,,,,,,,,
2014 FK38,25.2,179.65,2.985,1147416,0.00767,MPEC 2014-F70,http://www.minorplanetcenter.net/mpec/K14/K14F70.html,,,,,,,,,
2017 LD,27.8,180.35,2.9966,1151904,0.0077,MPEC 2017-L25,http://www.minorplanetcenter.net/mpec/K17/K17L25.html,,,,,,,,,
2006 DR14,26.1,181.52,3.0161,1159383,0.00775,MPEC 2006-D42,http://www.minorplanetcenter.net/mpec/K06/K06D42.html,,,,,,,,,
2008 EG32,27.3,181.99,3.0239,1162375,0.00777,MPEC 2008-E92,http://www.minorplanetcenter.net/mpec/K08/K08E92.html,,,,,,,,,
2018 FP5,25.7,182.23,3.0278,1163871,0.00778,MPEC 2018-G14,http://www.minorplanetcenter.net/mpec/K18/K18G14.html,,,,,,,,,
2015 VR64,27.4,182.93,3.0394,1168359,0.00781,MPEC 2015-W70,http://www.minorplanetcenter.net/mpec/K15/K15W70.html,,,,,,,,,
2012 SB3,27.7,183.16,3.0433,1169855,0.00782,MPEC 2012-S30,http://www.minorplanetcenter.net/mpec/K12/K12S30.html,,,,,,,,,
