Provisional designation,"Absolute magnitude, H",Distance ER,Distance LD,Distance km,Distance AU,Refernce,Ref URL,,,,,,,,,
2019 JY2,29.5,22.91,0.3806,146307,0.000978,MPEC 2019-J76,http://www.minorplanetcenter.net/mpec/K19/K19J76.html,,,,,,,,,
1993 KA2,29,23.19,0.3853,148102,0.00099,IAUC 5817,http://www.minorplanetcenter.net/iauc/05800/05817.html,,,,,,,,,
2013 UX2,29.2,23.42,0.3892,149598,0.001,MPO 275415,,,,,,,,,,
2016 SJ,29,23.42,0.3892,149598,0.001,MPEC 2016-S43,http://www.minorplanetcenter.net/mpec/K16/K16S43.html,,,,,,,,,
2014 AG51,29.9,23.89,0.397,152590,0.00102,MPEC 2014-B07,http://www.minorplanetcenter.net/mpec/K14/K14B07.html,,,,,,,,,
2018 HV,28.9,24.36,0.4047,155582,0.00104,MPEC 2018-H62,http://www.minorplanetcenter.net/mpec/K18/K18H62.html,,,,,,,,,
2006 QM111,30.5,25.06,0.4164,160070,0.00107,MPEC 2006-Q68,http://www.minorplanetcenter.net/mpec/K06/K06Q68.html,,,,,,,,,
2012 FP35,27.9,25.06,0.4164,160070,0.00107,MPEC 2012-F78,http://www.minorplanetcenter.net/mpec/K12/K12F78.html,,,,,,,,,
2008 EZ7,26.8,25.3,0.4203,161566,0.00108,MPEC 2008-E67,http://www.minorplanetcenter.net/mpec/K08/K08E67.html,,,,,,,,,
2016 EV28,28.5,25.76,0.4281,164558,0.0011,MPEC 2016-E80,http://www.minorplanetcenter.net/mpec/K16/K16E80.html,,,,,,,,,
2004 OD4,26.7,26,0.432,166054,0.00111,MPEC 2004-O15,http://www.minorplanetcenter.net/mpec/K04/K04O15.html,,,,,,,,,
2008 JL24,29.5,26.94,0.4475,172038,0.00115,MPEC 2008-J61,http://www.minorplanetcenter.net/mpec/K08/K08J61.html,,,,,,,,,
2008 OT7,27.2,27.4,0.4553,175030,0.00117,MPEC 2008-O56,http://www.minorplanetcenter.net/mpec/K08/K08O56.html,,,,,,,,,
2018 VT5,28.4,27.87,0.4631,178021,0.00119,MPEC 2018-V11,http://www.minorplanetcenter.net/mpec/K18/K18V11.html,,,,,,,,,
2019 JX1,29.2,28.11,0.467,179517,0.0012,MPEC 2019-J49,http://www.minorplanetcenter.net/mpec/K19/K19J49.html,,,,,,,,,
2014 AW32,27.5,29.28,0.4865,186997,0.00125,MPEC 2014-A72,http://www.minorplanetcenter.net/mpec/K14/K14A72.html,,,,,,,,,
2017 TD6,27.5,29.98,0.4981,191485,0.00128,MPEC 2017-U33,http://www.minorplanetcenter.net/mpec/K17/K17U33.html,,,,,,,,,
2018 GE3,23.6,30.21,0.502,192981,0.00129,MPEC 2018-G94,http://www.minorplanetcenter.net/mpec/K18/K18G94.html,,,,,,,,,
2018 FZ3,27.5,30.45,0.5059,194477,0.0013,MPEC 2018-F10,http://www.minorplanetcenter.net/mpec/K18/K18F10.html,,,,,,,,,
2015 LF,26.6,30.92,0.5137,197469,0.00132,MPEC 2015-P10,http://www.minorplanetcenter.net/mpec/K15/K15P10.html,,,,,,,,,
2011 GW9,28.1,31.15,0.5176,198965,0.00133,MPEC 2011-G35,http://www.minorplanetcenter.net/mpec/K11/K11G35.html,,,,,,,,,
2014 OP2,29.1,31.15,0.5176,198965,0.00133,MPEC 2014-P01,http://www.minorplanetcenter.net/mpec/K14/K14P01.html,,,,,,,,,
2016 GS134,27.7,31.15,0.5176,198965,0.00133,MPEC 2016-H66,http://www.minorplanetcenter.net/mpec/K16/K16H66.html,,,,,,,,,
2016 DA31,29.9,31.39,0.5215,200461,0.00134,MPEC 2016-F64,http://www.minorplanetcenter.net/mpec/K16/K16F64.html,,,,,,,,,
2016 EK1,29.1,31.62,0.5254,201957,0.00135,MPEC 2016-E33,http://www.minorplanetcenter.net/mpec/K16/K16E33.html,,,,,,,,,
2017 SQ2,25.8,31.62,0.5254,201957,0.00135,MPEC 2017-S84,http://www.minorplanetcenter.net/mpec/K17/K17S84.html,,,,,,,,,
2010 WC9,23.5,31.85,0.5293,203453,0.00136,MPEC 2018-J35,http://www.minorplanetcenter.net/mpec/K18/K18J35.html,,,,,,,,,
2012 JU,28.3,31.85,0.5293,203453,0.00136,MPEC 2012-J35,http://www.minorplanetcenter.net/mpec/K12/K12J35.html,,,,,,,,,
2018 YO2,29.6,31.85,0.5293,203453,0.00136,MPEC 2019-A17,http://www.minorplanetcenter.net/mpec/K19/K19A17.html,,,,,,,,,
2006 BF56,29.5,32.09,0.5332,204949,0.00137,MPEC 2006-B79,http://www.minorplanetcenter.net/mpec/K06/K06B79.html,,,,,,,,,
2013 PS13,27.5,32.09,0.5332,204949,0.00137,MPEC 2013-P45,http://www.minorplanetcenter.net/mpec/K13/K13P45.html,,,,,,,,,
2018 MZ4,28.8,32.56,0.5409,207941,0.00139,MPEC 2018-M61,http://www.minorplanetcenter.net/mpec/K18/K18M61.html,,,,,,,,,
2014 WE6,30.4,34.43,0.5721,219909,0.00147,MPEC 2014-W73,http://www.minorplanetcenter.net/mpec/K14/K14W73.html,,,,,,,,,
2018 UL,29.1,34.9,0.5799,222901,0.00149,MPEC 2018-U30,http://www.minorplanetcenter.net/mpec/K18/K18U30.html,,,,,,,,,
2012 VJ38,28.5,35.37,0.5877,225893,0.00151,MPEC 2012-V72,http://www.minorplanetcenter.net/mpec/K12/K12V72.html,,,,,,,,,
2012 XE54,25.4,35.37,0.5877,225893,0.00151,MPEC 2012-X37,http://www.minorplanetcenter.net/mpec/K12/K12X37.html,,,,,,,,,
2013 RG,29.4,35.6,0.5915,227389,0.00152,MPEC 2013-R32,http://www.minorplanetcenter.net/mpec/K13/K13R32.html,,,,,,,,,
2007 VF189,28.3,36.54,0.6071,233373,0.00156,MPEC 2007-V109,http://www.minorplanetcenter.net/mpec/K07/K07VB9.html,,,,,,,,,
2017 HG4,27.7,36.54,0.6071,233373,0.00156,MPEC 2017-H75,http://www.minorplanetcenter.net/mpec/K17/K17H75.html,,,,,,,,,
2004 FY15,26.1,37.48,0.6227,239357,0.0016,MPEC 2004-F66,http://www.minorplanetcenter.net/mpec/K04/K04F66.html,,,,,,,,,
2011 YB63,29.8,37.48,0.6227,239357,0.0016,MPEC 2012-A13,http://www.minorplanetcenter.net/mpec/K12/K12A13.html,,,,,,,,,
2013 RZ53,31.1,38.18,0.6344,243845,0.00163,MPEC 2013-S18,http://www.minorplanetcenter.net/mpec/K13/K13S18.html,,,,,,,,,
2010 HP20,27.5,38.41,0.6382,245341,0.00164,MPEC 2010-H46,http://www.minorplanetcenter.net/mpec/K10/K10H46.html,,,,,,,,,
2010 RX30,27.1,38.88,0.646,248332,0.00166,MPEC 2010-R50,http://www.minorplanetcenter.net/mpec/K10/K10R50.html,,,,,,,,,
2011 CA4,27,38.88,0.646,248332,0.00166,MPEC 2011-C23,http://www.minorplanetcenter.net/mpec/K11/K11C23.html,,,,,,,,,
2014 MH6,27.1,38.88,0.646,248332,0.00166,MPEC 2014-M54,http://www.minorplanetcenter.net/mpec/K14/K14M54.html,,,,,,,,,
2011 EN11,27.9,39.58,0.6577,252820,0.00169,MPEC 2011-E26,http://www.minorplanetcenter.net/mpec/K11/K11E26.html,,,,,,,,,
2009 TD17,27.7,40.52,0.6733,258804,0.00173,MPEC 2009-U61,http://www.minorplanetcenter.net/mpec/K09/K09U61.html,,,,,,,,,
2005 BS1,27.4,41.46,0.6888,264788,0.00177,MPEC 2005-B20,http://www.minorplanetcenter.net/mpec/K05/K05B20.html,,,,,,,,,
2019 JK,28,41.69,0.6927,266284,0.00178,MPEC 2019-J18,http://www.minorplanetcenter.net/mpec/K19/K19J18.html,,,,,,,,,
2018 SC,28,42.39,0.7044,270772,0.00181,MPEC 2018-S27,http://www.minorplanetcenter.net/mpec/K18/K18S27.html,,,,,,,,,
2004 HE,26.7,43.33,0.72,276756,0.00185,MPEC 2004-H16,http://www.minorplanetcenter.net/mpec/K04/K04H16.html,,,,,,,,,
2015 VP64,28.3,43.8,0.7278,279748,0.00187,MPEC 2015-Y48,http://www.minorplanetcenter.net/mpec/K15/K15Y48.html,,,,,,,,,
2015 XY261,27.2,45.2,0.7511,288724,0.00193,MPEC 2015-Y10,http://www.minorplanetcenter.net/mpec/K15/K15Y10.html,,,,,,,,,
2010 VC140,27.8,45.44,0.755,290220,0.00194,MPEC 2010-V147,http://www.minorplanetcenter.net/mpec/K10/K10VE7.html,,,,,,,,,
2014 HL129,28.3,45.67,0.7589,291716,0.00195,MPEC 2014-J19,http://www.minorplanetcenter.net/mpec/K14/K14J19.html,,,,,,,,,
2008 BC15,26.7,46.14,0.7667,294708,0.00197,MPEC 2008-B63,http://www.minorplanetcenter.net/mpec/K08/K08B63.html,,,,,,,,,
2018 KY2,27.1,46.84,0.7783,299196,0.002,MPEC 2018-K96,http://www.minorplanetcenter.net/mpec/K18/K18K96.html,,,,,,,,,
2018 AH,22.6,47.08,0.7822,300692,0.00201,MPEC 2018-A23,http://www.minorplanetcenter.net/mpec/K18/K18A23.html,,,,,,,,,
2018 GD2,29.6,47.08,0.7822,300692,0.00201,MPEC 2018-G72,http://www.minorplanetcenter.net/mpec/K18/K18G72.html,,,,,,,,,
2018 GY3,27.6,47.08,0.7822,300692,0.00201,MPEC 2018-G12,http://www.minorplanetcenter.net/mpec/K18/K18G12.html,,,,,,,,,
2017 VF14,28.4,48.02,0.7978,306676,0.00205,MPEC 2017-W08,http://www.minorplanetcenter.net/mpec/K17/K17W08.html,,,,,,,,,
2017 SM2,27.4,48.48,0.8056,309668,0.00207,MPEC 2017-S82,http://www.minorplanetcenter.net/mpec/K17/K17S82.html,,,,,,,,,
2016 FW13,29.5,49.19,0.8173,314156,0.0021,MPEC 2016-G77,http://www.minorplanetcenter.net/mpec/K16/K16G77.html,,,,,,,,,
2011 AN52,28.7,49.89,0.8289,318643,0.00213,MPEC 2011-A71,http://www.minorplanetcenter.net/mpec/K11/K11A71.html,,,,,,,,,
2004 XB45,26.6,50.83,0.8445,324627,0.00217,MPEC 2004-X71,http://www.minorplanetcenter.net/mpec/K04/K04X71.html,,,,,,,,,
2008 FK,27.3,51.29,0.8523,327619,0.00219,MPEC 2008-F44,http://www.minorplanetcenter.net/mpec/K08/K08F44.html,,,,,,,,,
2018 LV3,26.5,51.53,0.8562,329115,0.0022,MPEC 2018-L59,http://www.minorplanetcenter.net/mpec/K18/K18L59.html,,,,,,,,,
2019 EN2,27.6,51.53,0.8562,329115,0.0022,MPEC 2019-F05,http://www.minorplanetcenter.net/mpec/K19/K19F05.html,,,,,,,,,
2019 FQ,27.1,51.53,0.8562,329115,0.0022,MPEC 2019-F10,http://www.minorplanetcenter.net/mpec/K19/K19F10.html,,,,,,,,,
2016 GO206,26.3,51.76,0.8601,330611,0.00221,MPEC 2016-G13,http://www.minorplanetcenter.net/mpec/K16/K16G13.html,,,,,,,,,
2008 UA202,29.4,52,0.864,332107,0.00222,MPEC 2008-V06,http://www.minorplanetcenter.net/mpec/K08/K08V06.html,,,,,,,,,
2014 WJ6,27.1,52,0.864,332107,0.00222,MPEC 2014-Y01,http://www.minorplanetcenter.net/mpec/K14/K14Y01.html,,,,,,,,,
2016 GO134,27.6,52,0.864,332107,0.00222,MPEC 2016-G11,http://www.minorplanetcenter.net/mpec/K16/K16G11.html,,,,,,,,,
2006 BV39,29.2,52.7,0.8756,336595,0.00225,MPEC 2006-B62,http://www.minorplanetcenter.net/mpec/K06/K06B62.html,,,,,,,,,
2009 EW,26.3,52.93,0.8795,338091,0.00226,MPEC 2009-E23,http://www.minorplanetcenter.net/mpec/K09/K09E23.html,,,,,,,,,
2018 VC7,27.4,53.17,0.8834,339587,0.00227,MPEC 2018-V16,http://www.minorplanetcenter.net/mpec/K18/K18V16.html,,,,,,,,,
2013 CY,28.3,53.87,0.8951,344075,0.0023,MPEC 2013-E69,http://www.minorplanetcenter.net/mpec/K13/K13E69.html,,,,,,,,,
2014 KW76,27.9,53.87,0.8951,344075,0.0023,MPEC 2014-O26,http://www.minorplanetcenter.net/mpec/K14/K14O26.html,,,,,,,,,
2009 TM8,28.3,54.34,0.9029,347067,0.00232,MPEC 2009-T65,http://www.minorplanetcenter.net/mpec/K09/K09T65.html,,,,,,,,,
2018 CS1,28.2,54.34,0.9029,347067,0.00232,MPEC 2018-C54,http://www.minorplanetcenter.net/mpec/K18/K18C54.html,,,,,,,,,
2016 SU2,27.6,55.04,0.9146,351555,0.00235,MPEC 2016-Y68,http://www.minorplanetcenter.net/mpec/K16/K16Y68.html,,,,,,,,,
