,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
1037,Vago,24143,Valid,H6,40.0,Fell,1668.0,45.41667,11.13333,"(45.416670, 11.133330)"
1038,Valdavur,24144,Valid,H6,2799.0,Fell,1944.0,11.98333,79.75,"(11.983330, 79.750000)"
1039,Valdinizza,24145,Valid,L6,1004.0,Fell,1903.0,44.86667,9.15,"(44.866670, 9.150000)"
1040,Valdinoce,24146,Valid,Stone-uncl,,Fell,1495.0,44.06667,12.1,"(44.066670, 12.100000)"
1041,Valera,24149,Valid,L5,50000.0,Fell,1972.0,9.31667,-70.62833,"(9.316670, -70.628330)"
1042,Varre-Sai,53633,Valid,L5,2500.0,Fell,2010.0,-20.85001,-41.73356,"(-20.850010, -41.733560)"
1043,Vavilovka,24154,Valid,LL6,1932.0,Fell,1876.0,46.15,32.83333,"(46.150000, 32.833330)"
1044,Vengerovo,24158,Valid,H5,10800.0,Fell,1950.0,56.13333000000001,77.26666999999999,"(56.133330, 77.266670)"
1045,Veramin,24162,Valid,Mesosiderite-B2,54000.0,Fell,1880.0,35.33333,51.63333,"(35.333330, 51.633330)"
1046,Verkhne Tschirskaia,24165,Valid,H5,8000.0,Fell,1843.0,48.41667,43.2,"(48.416670, 43.200000)"
1047,Vernon County,24168,Valid,H6,1500.0,Fell,1865.0,43.5,-91.16667,"(43.500000, -91.166670)"
1048,Vetluga,24169,Valid,Eucrite-mmict,750.0,Fell,1949.0,57.8,45.8,"(57.800000, 45.800000)"
1049,Vigarano,24174,Valid,CV3,15000.0,Fell,1910.0,44.85,11.4,"(44.850000, 11.400000)"
1050,Villalbeto de la Peña,24179,Valid,L6,3500.0,Fell,2004.0,42.8,-4.66667,"(42.800000, -4.666670)"
1051,Villarrica,24181,Valid,Stone-uncl,,Fell,1925.0,-25.83333,-56.5,"(-25.833330, -56.500000)"
1052,Vilna,24183,Valid,L5,0.1,Fell,1967.0,54.225,-111.69167,"(54.225000, -111.691670)"
1053,Virba,24185,Valid,L6,3600.0,Fell,1873.0,43.53333,22.633329999999997,"(43.533330, 22.633330)"
1054,Vishnupur,24187,Valid,LL4-6,2437.0,Fell,1906.0,23.1,87.43333,"(23.100000, 87.433330)"
1055,Vissannapeta,24188,Valid,Eucrite-cm,1303.8,Fell,1997.0,16.83333,80.75,"(16.833330, 80.750000)"
1056,Visuni,24189,Valid,H6,594.0,Fell,1915.0,25.45,70.0,"(25.450000, 70.000000)"
1057,Vouillé,24191,Valid,L6,20000.0,Fell,1831.0,46.63333,0.16667,"(46.633330, 0.166670)"
1058,Walters,24210,Valid,L6,28100.0,Fell,1946.0,34.33333,-98.3,"(34.333330, -98.300000)"
1059,Warrenton,24215,Valid,CO3.7,1600.0,Fell,1877.0,38.68333,-91.15,"(38.683330, -91.150000)"
1060,Washougal,24218,Valid,Howardite,225.0,Fell,1939.0,45.58333,-122.35,"(45.583330, -122.350000)"
1061,Werdama,47344,Valid,H5,4000.0,Fell,2006.0,32.79732,21.787129999999998,"(32.797320, 21.787130)"
1062,Wessely,24244,Valid,H5,3750.0,Fell,1831.0,48.95,17.383329999999997,"(48.950000, 17.383330)"
